"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3311","3.21126761","2.524E-5","0.31140351","0.0","2","4","false","glucose metabolism ","69.5","2","0","0","0.4471831","false","0","glucose metabolism ","140","0.88961039"
"3056","1.95305164","0.01174941","0.51201923","0.0","10","2","false","translational initiation ","94.2","10","0","0","0.76173709","false","0","translational initiation ","110664","0.4591133"
"3313","3.21126761","2.524E-5","0.31140351","0.0","2","4","false","protein-nucleus import, docking ","69.5","2","0","0","0.4471831","false","0","protein-nucleus import, docking ","140","0.88961039"
"3315","2.31924883","0.00403238","0.43117409","0.0","5","4","false","protein polymerization ","92.4","5","0","0","0.67018779","false","0","protein polymerization ","38290","0.5408284"
"3317","3.21126761","2.524E-5","0.31140351","0.0","2","4","false","protein catabolism ","69.5","2","0","0","0.4471831","false","0","protein catabolism ","140","0.88961039"
"3062","1.98122066","0.00690927","0.50473934","0.0","9","4","false","glutamyl-tRNA aminoacylation ","97.0","9","0","0","0.75469484","false","0","glutamyl-tRNA aminoacylation ","65376","0.47761194"
"3319","3.21126761","2.524E-5","0.31140351","0.0","2","4","false","arginine biosynthesis ","69.5","2","0","0","0.4471831","false","0","arginine biosynthesis ","140","0.88961039"
"3321","3.21126761","2.524E-5","0.31140351","0.0","2","4","false","protein biosynthesis ","69.5","2","0","0","0.4471831","false","0","protein biosynthesis ","140","0.88961039"
"3325","3.21126761","2.524E-5","0.31140351","0.0","2","4","false","metabolism ","69.5","2","0","0","0.4471831","false","0","metabolism ","140","0.88961039"
"3327","2.30985915","0.17399556","0.43292683","0.0","69","3","false"," Phatr ","4.92753623","69","0","0","0.67253521","false","0"," Phatr ","1167948","0.43639291"
"3076","1.95305164","0.01174941","0.51201923","0.0","10","2","false","intracellular protein transport ","94.2","10","0","0","0.76173709","false","0","intracellular protein transport ","110664","0.4591133"
"3333","3.30516432","0.0","0.30255682","0.0","1","4","false","cysteine biosynthesis via cystathione ","69.0","1","0","0","0.42370892","false","0","cysteine biosynthesis via cystathione ","0","0.0"
"2950","2.12206573","0.00714793","0.47123894","0.0","7","4","false","sulfate assimilation ","93.42857143","7","0","0","0.71948357","false","0","sulfate assimilation ","65048","0.49164134"
"3080","1.95305164","0.01174941","0.51201923","0.0","10","2","false","electron transport ","94.2","10","0","0","0.76173709","false","0","electron transport ","110664","0.4591133"
"3212","3.21126761","2.524E-5","0.31140351","0.0","2","4","false","amino acid biosynthesis ","69.5","2","0","0","0.4471831","false","0","amino acid biosynthesis ","140","0.88961039"
"3213","2.30046948","0.19273585","0.43469388","0.0","70","3","false"," Thaps ","4.71428571","70","0","0","0.67488263","false","0"," Thaps ","1201146","0.41269841"
"3086","1.95305164","0.01174941","0.51201923","0.0","10","2","false","tRNA aminoacylation for protein translation ","94.2","10","0","0","0.76173709","false","0","tRNA aminoacylation for protein translation ","110664","0.4591133"
"2958","2.00938967","0.0098623","0.49766355","0.0","9","4","false","apoptosis ","92.55555556","9","0","0","0.74765258","false","0","apoptosis","93256","0.4624018"
"3215","3.21126761","2.524E-5","0.31140351","0.0","2","4","false","amino acid metabolism ","69.5","2","0","0","0.4471831","false","0","amino acid metabolism ","140","0.88961039"
"2960","2.04694836","0.00503783","0.48853211","0.0","7","4","false","autophagic vacuole formation ","97.42857143","7","0","0","0.73826291","false","0","autophagic vacuole formation ","45986","0.49198251"
"3217","3.21126761","2.524E-5","0.31140351","0.0","2","4","false","antibiotic biosynthesis ","69.5","2","0","0","0.4471831","false","0","antibiotic biosynthesis ","140","0.88961039"
