queryCnt	minQSize	maxQSize	meanQSize	alnCnt	minIdent	maxIndent	meanIdent	minQCover	maxQCover	meanQCover	minRepMatch	maxRepMatch	meanRepMatch	minTCover	maxTCover	aligned	aligned1	alignedN
1186	170	19456	3039	3107	0.9000	1.0000	0.9985	0.0025	1.0000	0.0003	0.0000	0.0000	0.0000	0.0015	1.0000	1186	666	520
833	173	6196	1782	1423	0.9000	1.0000	0.9988	0.0071	1.0000	0.0007	0.0000	0.0000	0.0000	0.0029	1.0000	833	627	206
1122	174	8975	2135	2111	0.9015	1.0000	0.9988	0.0043	1.0000	0.0005	0.0000	0.0000	0.0000	0.0015	1.0000	1122	798	324
1147	170	20010	2756	2557	0.9000	1.0000	0.9988	0.0022	1.0000	0.0004	0.0000	0.0000	0.0000	0.0015	1.0000	1147	710	437
1089	170	16758	3003	2627	0.9000	1.0000	0.9989	0.0022	1.0000	0.0004	0.0000	0.0000	0.0000	0.0015	1.0000	1089	599	490
779	199	6248	1768	1376	0.9000	1.0000	0.9990	0.0071	1.0000	0.0007	0.0000	0.0000	0.0000	0.0029	1.0000	779	580	199
1100	252	8854	2207	2119	0.9011	1.0000	0.9990	0.0057	1.0000	0.0005	0.0000	0.0000	0.0000	0.0021	1.0000	1100	772	328
1081	159	20010	2733	2287	0.9000	1.0000	0.9991	0.0027	1.0000	0.0004	0.0000	0.0000	0.0000	0.0023	1.0000	1081	662	419
93	385	11682	3067	235	0.9009	1.0000	0.9977	0.0063	1.0000	0.0043	0.0000	0.0000	0.0000	0.0039	1.0000	93	48	45
55	461	4240	1743	124	0.9078	1.0000	0.9964	0.0093	1.0000	0.0083	0.0000	0.0000	0.0000	0.0033	1.0000	55	37	18
82	439	5026	1985	208	0.9009	1.0000	0.9958	0.0082	1.0000	0.0050	0.0000	0.0000	0.0000	0.0046	1.0000	82	48	34
89	280	7933	2437	226	0.9009	1.0000	0.9967	0.0046	1.0000	0.0045	0.0000	0.0000	0.0000	0.0027	1.0000	89	53	36
926	170	16758	3017	2165	0.9000	1.0000	0.9988	0.0031	1.0000	0.0005	0.0000	0.0000	0.0000	0.0015	1.0000	926	548	378
612	212	6196	1893	991	0.9000	1.0000	0.9992	0.0071	1.0000	0.0010	0.0000	0.0000	0.0000	0.0029	1.0000	612	473	139
919	174	8830	2300	1699	0.9000	1.0000	0.9990	0.0035	1.0000	0.0006	0.0000	0.0000	0.0000	0.0020	1.0000	919	646	273
891	161	15783	2825	1950	0.9012	1.0000	0.9990	0.0022	1.0000	0.0005	0.0000	0.0000	0.0000	0.0015	1.0000	891	556	335

