metagenome	level 1	level 2	level 3	function	abundance	avg eValue	avg % ident	avg align len	# hits	
mmetsp1433	Amino Acids and Derivatives	0	Creatine and Creatinine Degradation	Cytosine deaminase (EC 3.5.4.1)	1	-57	74.65	142	1	
QPX_v15	Amino Acids and Derivatives	0	Creatine and Creatinine Degradation	Cytosine deaminase (EC 3.5.4.1)	1	-57	74.65	142	1	
mmetsp98	Amino Acids and Derivatives	0	Creatine and Creatinine Degradation	Cytosine deaminase (EC 3.5.4.1)	1	-57	74.65	142	1	
mmetsp1002	Amino Acids and Derivatives	0	Creatine and Creatinine Degradation	Cytosine deaminase (EC 3.5.4.1)	1	-57	74.65	142	1	
mmetsp1433	Amino Acids and Derivatives	0	Creatine and Creatinine Degradation	Sarcosine dehydrogenase (EC 1.5.99.1)	1	-60	64.74	173	1	
QPX_v15	Amino Acids and Derivatives	0	Creatine and Creatinine Degradation	Sarcosine dehydrogenase (EC 1.5.99.1)	1	-60	64.74	173	1	
mmetsp98	Amino Acids and Derivatives	0	Creatine and Creatinine Degradation	Sarcosine dehydrogenase (EC 1.5.99.1)	2	-42.5	66.58	124.5	2	
mmetsp992	Amino Acids and Derivatives	0	Creatine and Creatinine Degradation	Sarcosine dehydrogenase (EC 1.5.99.1)	1	-42	62.1	124	1	
mmetsp1002	Amino Acids and Derivatives	0	Creatine and Creatinine Degradation	Sarcosine dehydrogenase (EC 1.5.99.1)	1	-42	62.1	124	1	
mmetsp1433	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	2	-39.5	63.45	119	2	
QPX_v15	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	2	-44.67	67.24	123	2	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	2	-44.67	67.24	123	2	
mmetsp992	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	2	-44.67	67.24	123	2	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	2	-44.67	67.24	123	2	
mmetsp1433	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7)	4	-47.25	69.86	131.25	4	
QPX_v15	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7)	2	-80.5	65.74	212	2	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7)	4	-47.25	69.86	131.25	4	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7)	5	-36.8	70.66	104.8	5	
mmetsp1433	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	1	-150	68.01	372	1	
QPX_v15	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	1	-150	68.01	372	1	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	1	-150	68.01	372	1	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	1	-150	68.01	372	1	
mmetsp1433	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Ferredoxin, 2Fe-2S	2	-22	60.45	78.5	2	
QPX_v15	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Ferredoxin, 2Fe-2S	1	-32	63.27	98	1	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Ferredoxin, 2Fe-2S	2	-22	60.45	78.5	2	
mmetsp992	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Ferredoxin, 2Fe-2S	2	-18.5	62.12	69.5	2	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Ferredoxin, 2Fe-2S	2	-25.33	61.39	85	2	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Iron-sulfur cluster assembly scaffold protein IscU	1	-58	85.04	127	1	
mmetsp1433	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	1	-96	67.47	249	1	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	1	-96	67.47	249	1	
mmetsp992	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	1	-96	67.47	249	1	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	1	-96	67.47	249	1	
QPX_v15	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	Low-specificity L-threonine aldolase (EC 4.1.2.5)	1	-47	62.26	159	1	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	Low-specificity L-threonine aldolase (EC 4.1.2.5)	1	-47	62.26	159	1	
mmetsp1433	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	Serine hydroxymethyltransferase (EC 2.1.2.1)	1	-100	81.9	210	1	
QPX_v15	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	Serine hydroxymethyltransferase (EC 2.1.2.1)	1	-100	81.9	210	1	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	Serine hydroxymethyltransferase (EC 2.1.2.1)	2	-65	80.19	144.5	2	
mmetsp992	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	Serine hydroxymethyltransferase (EC 2.1.2.1)	1	-100	81.9	210	1	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	Serine hydroxymethyltransferase (EC 2.1.2.1)	1	-17	66.13	62	1	
mmetsp1433	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	1	-96	67.47	249	1	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	1	-96	67.47	249	1	
mmetsp992	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	1	-96	67.47	249	1	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	1	-96	67.47	249	1	
mmetsp1433	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	1	-27	69.23	91	1	
QPX_v15	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	2	-25	65.6	91.5	2	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	1	-27	69.23	91	1	
mmetsp992	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	1	-27	69.23	91	1	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	1	-27	69.23	91	1	
QPX_v15	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Cystathionine beta-synthase (EC 4.2.1.22)	1	-93	76.74	215	1	
mmetsp992	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Cystathionine gamma-lyase (EC 4.4.1.1)	2	-24	62.31	90	2	
mmetsp1433	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	2	-95	64.93	230	2	
QPX_v15	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	1	-173	74.02	381	1	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	2	-94.5	64.96	228.5	2	
mmetsp992	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	1	-103	76.47	221	1	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	2	-93.5	64.96	226.5	2	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycine cleavage system H protein	1	-25	62.96	81	1	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	1	-110	70.23	262	1	
mmetsp1433	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	L-serine dehydratase (EC 4.3.1.17)	1	-47	69.85	136	1	
QPX_v15	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	L-serine dehydratase (EC 4.3.1.17)	1	-23	86.15	65	1	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	L-serine dehydratase (EC 4.3.1.17)	1	-47	69.85	136	1	
mmetsp992	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	L-serine dehydratase (EC 4.3.1.17)	1	-47	69.85	136	1	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	L-serine dehydratase (EC 4.3.1.17)	1	-47	69.85	136	1	
mmetsp1433	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Phosphoserine aminotransferase (EC 2.6.1.52)	1	-71	69.71	175	1	
QPX_v15	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Phosphoserine aminotransferase (EC 2.6.1.52)	1	-71	69.71	175	1	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Phosphoserine aminotransferase (EC 2.6.1.52)	1	-71	69.71	175	1	
mmetsp992	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Phosphoserine aminotransferase (EC 2.6.1.52)	1	-71	69.71	175	1	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Phosphoserine aminotransferase (EC 2.6.1.52)	1	-71	69.71	175	1	
mmetsp1433	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Serine hydroxymethyltransferase (EC 2.1.2.1)	1	-100	81.9	210	1	
QPX_v15	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Serine hydroxymethyltransferase (EC 2.1.2.1)	1	-100	81.9	210	1	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Serine hydroxymethyltransferase (EC 2.1.2.1)	2	-65	80.19	144.5	2	
mmetsp992	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Serine hydroxymethyltransferase (EC 2.1.2.1)	1	-100	81.9	210	1	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Serine hydroxymethyltransferase (EC 2.1.2.1)	1	-17	66.13	62	1	
mmetsp1433	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Seryl-tRNA synthetase (EC 6.1.1.11)	1	-14	63.64	55	1	
QPX_v15	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Seryl-tRNA synthetase (EC 6.1.1.11)	1	-14	63.64	55	1	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Seryl-tRNA synthetase (EC 6.1.1.11)	1	-14	63.64	55	1	
mmetsp992	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Seryl-tRNA synthetase (EC 6.1.1.11)	1	-14	63.64	55	1	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Seryl-tRNA synthetase (EC 6.1.1.11)	2	-14	63.64	55	1	
