3633	1	0	0	0	0	0	0	+	21	3644	0	3634	QPX_v015_contig_3270	11077	7338	10972	1	3634,	0,	7338,	salinity	m1002
1530	2	0	0	0	0	0	0	+	103	3995	0	1532	QPX_v015_contig_1842	12292	10753	12285	1	1532,	0,	10753,	salinity	m1002
2478	1	0	15	2	17	1	13	+	103	3995	1484	3995	QPX_v015_contig_10166	2730	30	2537	3	26,62,2406,	1484,1526,1589,	30,69,131,	salinity	m1002
1931	0	0	0	0	0	1	45	-	206	1931	0	1931	QPX_v015_contig_4100	11334	474	2450	2	1651,280,	0,1651,	474,2170,	salinity	m1002
1620	0	0	2	0	0	0	0	-	277	1834	212	1834	QPX_v015_contig_2962	8291	4964	6586	1	1622,	0,	4964,	salinity	m1002
1577	0	0	0	0	0	0	0	-	791	1577	0	1577	QPX_v015_contig_2844	10227	6293	7870	1	1577,	0,	6293,	salinity	m1002
1828	0	0	0	0	0	0	0	-	1197	1828	0	1828	QPX_v015_contig_5834	7979	3683	5511	1	1828,	0,	3683,	salinity	m1002
1513	0	0	0	0	0	3	222	+	1464	1629	58	1571	QPX_v015_contig_8205	2109	0	1735	4	115,1232,115,51,	58,173,1405,1520,	0,220,1508,1684,	salinity	m1002
5025	0	0	0	1	1	0	0	-	1949	5026	0	5026	QPX_v015_contig_830	8237	3106	8131	2	4403,622,	0,4404,	3106,7509,	salinity	m1002
1944	0	0	0	1	5	0	0	-	1955	2049	0	1949	QPX_v015_contig_870	2590	0	1944	2	667,1277,	100,772,	0,667,	salinity	m1002
3279	0	0	0	0	0	0	0	+	2288	3280	0	3279	QPX_v015_contig_5956	9120	1337	4616	1	3279,	0,	1337,	salinity	m1002
4301	0	0	0	0	0	2	165	+	2428	4301	0	4301	QPX_v015_contig_4937	13643	6815	11281	3	18,2264,2019,	0,18,2282,	6815,6935,9262,	salinity	m1002
1761	0	0	0	0	0	0	0	-	2439	1761	0	1761	QPX_v015_contig_190	18587	2779	4540	1	1761,	0,	2779,	salinity	m1002
3178	0	0	0	1	5	0	0	+	2553	3183	0	3183	QPX_v015_contig_3807	5306	190	3368	2	2940,238,	0,2945,	190,3130,	salinity	m1002
3577	0	0	0	2	6	2	47	+	2759	3583	0	3583	QPX_v015_contig_4927	6868	472	4096	4	246,369,1004,1958,	0,247,621,1625,	472,762,1131,2138,	salinity	m1002
1650	0	0	0	1	15	0	0	-	3390	1665	0	1665	QPX_v015_contig_7182	1973	173	1823	2	1274,376,	0,1289,	173,1447,	salinity	m1002
1508	0	0	0	1	1	2	41	+	3505	1509	0	1509	QPX_v015_contig_1012	7844	3194	4743	3	193,580,735,	0,194,774,	3194,3389,4008,	salinity	m1002
1702	0	0	0	0	0	4	216	+	3943	1702	0	1702	QPX_v015_contig_6968	6163	144	2062	5	511,345,443,120,283,	0,511,856,1299,1419,	144,712,1115,1610,1779,	salinity	m1002
1649	0	0	0	0	0	0	0	-	4214	1649	0	1649	QPX_v015_contig_1042	9456	176	1825	1	1649,	0,	176,	salinity	m1002
2346	0	0	0	0	0	0	0	-	4789	2346	0	2346	QPX_v015_contig_8268	4418	2046	4392	1	2346,	0,	2046,	salinity	m1002
2018	0	0	0	0	0	0	0	-	5525	2018	0	2018	QPX_v015_contig_4330	6298	1550	3568	1	2018,	0,	1550,	salinity	m1002
1709	0	0	0	0	0	0	0	+	5677	1933	224	1933	QPX_v015_contig_9301	1759	0	1709	1	1709,	224,	0,	salinity	m1002
2903	1	0	0	0	0	0	0	-	5691	3699	0	2904	QPX_v015_contig_3652	2971	0	2904	1	2904,	795,	0,	salinity	m1002
1599	0	0	0	1	1	1	11	+	5802	1600	0	1600	QPX_v015_contig_5087	2220	369	1979	2	1169,430,	0,1170,	369,1549,	salinity	m1002
1510	0	0	0	0	0	1	56	+	6229	2429	919	2429	QPX_v015_contig_7440	2846	0	1566	2	1374,136,	919,2293,	0,1430,	salinity	m1002
2655	0	0	0	0	0	3	156	+	6703	4271	0	2655	QPX_v015_contig_12774	2828	17	2828	4	393,97,225,1940,	0,393,490,715,	17,465,612,888,	salinity	m1002
1969	0	0	0	0	0	0	0	+	7214	1969	0	1969	QPX_v015_contig_2296	8148	5982	7951	1	1969,	0,	5982,	salinity	m1002
1608	0	0	0	0	0	1	57	-	7620	1737	129	1737	QPX_v015_contig_7516	3178	1458	3123	2	428,1180,	0,428,	1458,1943,	salinity	m1002
1821	0	0	0	0	0	0	0	+	7721	1821	0	1821	QPX_v015_contig_6740	3825	1707	3528	1	1821,	0,	1707,	salinity	m1002
2741	0	0	0	0	0	1	34	-	8934	2741	0	2741	QPX_v015_contig_6660	6104	984	3759	2	215,2526,	0,215,	984,1233,	salinity	m1002
2808	0	0	0	0	0	0	0	-	9043	2808	0	2808	QPX_v015_contig_7001	4010	385	3193	1	2808,	0,	385,	salinity	m1002
2204	0	0	0	1	1	1	20	+	9113	2205	0	2205	QPX_v015_contig_1453	9838	827	3051	2	180,2024,	0,181,	827,1027,	salinity	m1002
3780	0	0	1	0	0	2	131	+	9429	3781	0	3781	QPX_v015_contig_4937	13643	7369	11281	3	148,1614,2019,	0,148,1762,	7369,7585,9262,	salinity	m1002
1512	0	0	0	0	0	0	0	-	9436	1512	0	1512	QPX_v015_contig_978	5296	451	1963	1	1512,	0,	451,	salinity	m1002
2020	0	0	0	0	0	0	0	-	9841	2020	0	2020	QPX_v015_contig_1345	9917	1524	3544	1	2020,	0,	1524,	salinity	m1002
2820	0	0	0	0	0	0	0	+	10361	2820	0	2820	QPX_v015_contig_302	13844	7773	10593	1	2820,	0,	7773,	salinity	m1002
1596	0	0	0	0	0	1	55	-	10477	1596	0	1596	QPX_v015_contig_3272	2357	301	1952	2	191,1405,	0,191,	301,547,	salinity	m1002
1633	0	0	0	0	0	0	0	+	10591	1633	0	1633	QPX_v015_contig_5087	2220	347	1980	1	1633,	0,	347,	salinity	m1002
2937	0	0	0	0	0	0	0	+	10745	2937	0	2937	QPX_v015_contig_1453	9838	134	3071	1	2937,	0,	134,	salinity	m1002
3657	0	0	0	2	6	1	11	-	12309	3663	0	3663	QPX_v015_contig_4927	6868	472	4140	3	279,369,3009,	0,280,654,	472,762,1131,	salinity	m1002
1509	0	0	0	0	0	0	0	+	12348	1509	0	1509	QPX_v015_contig_1304	2202	445	1954	1	1509,	0,	445,	salinity	m1002
